PERFORMANCE,DESCRICAO,SCENARIO,MARKET-TYPE,MBTI,E-I,S-N,T-F,J-P,SEED,TOTAL-DEMAND,CYCLES-TO-RETURN,MAX-VISITS-TO-AGENT,MIN-DISTANCE-TO-EXCLUDE
2093,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2024,4688,75,3,10
2058,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2025,4688,75,3,10
2060,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2025,4688,75,3,10
2010,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2025,4688,75,3,10
2035,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2025,4688,75,3,10
2057,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2025,4688,75,3,10
2118,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2025,4688,75,3,10
2052,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2025,4688,75,3,10
2115,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2025,4688,75,3,10
2054,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2025,4688,75,3,10
2071,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2026,4688,75,3,10
2091,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2026,4688,75,3,10
2109,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2026,4688,75,3,10
2102,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2026,4688,75,3,10
2168,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2026,4688,75,3,10
2126,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2027,4688,75,3,10
2102,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2026,4688,75,3,10
2091,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2026,4688,75,3,10
2091,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2026,4688,75,3,10
2068,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2026,4688,75,3,10
2155,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2026,4688,75,3,10
2126,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2026,4688,75,3,10
2092,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2026,4688,75,3,10
2142,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2026,4688,75,3,10
2067,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2026,4688,75,3,10
2124,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2026,4688,75,3,10
2083,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2026,4688,75,3,10
2043,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2026,4688,75,3,10
2076,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2026,4688,75,3,10
2067,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2026,4688,75,3,10
2170,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2027,4688,75,3,10
2170,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2027,4688,75,3,10
2121,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2027,4688,75,3,10
2130,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2027,4688,75,3,10
2094,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2027,4688,75,3,10
2022,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2026,4688,75,3,10
2130,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2027,4688,75,3,10
2130,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2027,4688,75,3,10
2066,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2027,4688,75,3,10
2071,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2027,4688,75,3,10
2119,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2027,4688,75,3,10
2075,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2027,4688,75,3,10
2041,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2026,4688,75,3,10
2054,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2027,4688,75,3,10
2049,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2027,4688,75,3,10
2105,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2028,4688,75,3,10
2135,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2028,4688,75,3,10
2135,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2028,4688,75,3,10
2080,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2027,4688,75,3,10
2061,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2027,4688,75,3,10
2135,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2028,4688,75,3,10
2063,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2027,4688,75,3,10
2068,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2027,4688,75,3,10
2074,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2027,4688,75,3,10
2135,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2028,4688,75,3,10
2099,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2028,4688,75,3,10
2099,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2028,4688,75,3,10
2075,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2028,4688,75,3,10
2072,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2028,4688,75,3,10
2102,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2028,4688,75,3,10
2043,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2027,4688,75,3,10
